Sort name,Name1,Name2,Name3,Name4,Name5,Name6,Name7,Name8,Prof,Cor,Pup,Role1,Role2,Role3,Role4,Role5,Role6
,,,,,,,,,,,,,,,,,
Adler,Guido Adler,,,, ,,,,,√,,musicologist,teacher,,,,
Adler,Viktor Adler,Victor Adler,,,,,,,,,,politician,,,,,
Aibl,Josef Aibl,,,,,,,,,,,publisher,,,,,
Albersheim,Gerhard Albersheim, ,,,,,,,,√,√,,,,,,
Albersheim,Josef Albersheim,,,,,,,,,√,√,pianist,,,,,
Alter,Fräulein Alter,,,,,,,,,,,student,,,,,
Altmann,Wilhelm Altmann, ,,,,,,,,√,,musicologist,librarian,,,,
Andriessen,Willem Andriessen,,,,,,,,,,,,,,,,
Aronson,Aronson,,,,,,,,,,,teacher,,,,,
Arthur,,,,,,,,,,,,family?,friend?,,,,
Ascherberg,Edwin Ascherberg,,,,,,,,,,,publisher,,,,,
Auslander,Frederick Auslander, ,,,,,,,,√,,,,,,,
Bach,Carl Philipp Emanuel Bach,C. P. E. Bach,Emanuel Bach,Karl Philipp Emanuel Bach,K. P. E. Bach,Ph. Em. Bach,Em. Bach,Philipp Em. Bach,,,,composer,,,,,
Bach,Johann Sebastian Bach,J. S. Bach,Sebastian Bach,Seb. Bach,S. Bach,,,,,,,composer,,,,,
Bach,Baronin Bach,,,,,,,,,,,aristocrat,,,,,
Backhaus,Wilhelm Backhaus,,,,,,,,,,,pianist,,,,,
Baensch,Otto Baensch,,,,,,,,,√,,,,,,,
Baer,Baer,,,,,,,,,,,librarian,Frankfurt librarian,,,,
Bahr,Hermann Bahr,,,,,,,,,,,playwright,novelist,editor,,,
Balassa,Ottilie von Balassa,,,,,,,,,√,,,,,,,
Bamberger,Carl Bamberger, ,,,,,,,,,√,conductor,profile,,,,
Barbusse,Henri Barbusse,,,,,,,,,,,author,novelist,,,,
Barrès,Maurice Barrès,,,,,,,,,,,author,novelist,poet,politician,,
Barth,Karl Heinrich Barth,,,,,,,,,,,pianist,teacher,,,,
Basch,Victor Basch,,,,,,,,,,,politician,,,,,
Batka,Richard Batka,,,,,,,,,,,critic,,,,,
Baudressel,Frau Baudressel,,,,,,,,,,,friend,,,,,
Bauer,M. Bauer,,,,,,,,,√,,,,,,,
Bauer,Otto Bauer,,,,,,,,,√,,,,,,,
Baumgarten,Theodor Baumgarten,Dr. Baumgarten,,,,,,,,√,,attorney,,,,,
Becker,Agnes Becker,,,,,,,,,,√,,,,,,
Bednai,Frau Bednai,,,,,,,,,,,neighbor?,,,,,
Beethoven,Ludwig van Beethoven,Beeth.,Beeth, Beet.,Beet,,,,,,,,,,,,
Begas,Reinhold Begas,,,,,,,,,,,sculptor,,,,,
Bekker,Paul Bekker,,,,,,,,,,,critic,author,,,,
Benedikt,Moriz Benedikt,,,,,,,,,,,critic,editor,publisher,,,
Berg,Alban Berg,,,,,,,,,,,composer,,,,,
Berger,Alfred von Berger,,,,,,,,,,,,,,,,
Bergson,Henri Bergson,,,,,,,,,,,philosopher,,,,,
Berlioz,Hector Berlioz,,,,,,,,,,,composer,,,,,
Bernstein,Eduard Bernstein,,,,,,,,,,,politician,,,,,
Berrsche,Alexander Berrsche,,,,,,,,,√,,critic,,,,,
Bertram,Georg Bertram,,,,,,,,,,,pianist,,,,,
Beyschlag,Adolf Beyschlag,Adolph Beyschlag,,,,,,,,,,musicologist,,,,,
Biederemann-Rieter,Jakob Melchior Biederemann-Rieter,,,,,,,,,,,publisher,,,,,
Bienenfels,Elsa Bienenfel,,,,,,,,√,√,,critic,,,,,
Blaschik,A. J. Blaschik,,,,,,,,,√,,,,,,,
Bloch,Fräulein Bloch,,,,,,,,,,√,,,,,,
Blum,Blum,,,,,,,,,,√,,,,,,
Bockelmann,Rudolf Bockelmann,Rudolph Bockelmann,,,,,,,,,,,,,,,
Bohm,Bohm,,,,,,,,√,,,,,,,,
Bonsels,Waldemaar Bonsels,,,,,,,,,,,author,,,,,
Bösendorfer,,,,,,,,,,,,piano manufacturer,,,,,
Bösendorfer,Ludwig Bösendorfer,,,,,,,,,,,piano manufacturer,,,,,
Bosse,Gustav Bosse,,,,,,,,,,,publisher,,,,,
Bote & Bock,Bote und Bock,,,,,,,,,,,publisher,,,,,
Botstiber,Hugo Botstiber,,,,,,,,,√,,author,administrator,,,,
Boys,Fräulein Boys,,,,,,,,,,,friend,,,,,
Brahms,Johannes Brahms, Br.,Br,,,,,,,,,,,,,,
Brandts-Buys,Brandts-Buys,,,,,,,,,,,editor,,,,,
Breisach,Paul Breisach,Breisach,,,,,,,√,,√,,,,,,
Breithaupt,Rudolf Maria Breithaupt,,,,,,,,,,,pianist,,,,,
Breitkopf & Härtel,Breitkopf & Härtel,,,,,,,,,,,publisher,,,,,
Brentano,Brentano,Ludwig Joseph Brentano,Lujo Brentano,,,,,,,,,politician,economist,,,,
Briand,Aristide Briand,,,,,,,,,,,statesman,,,,,
Bruck,Hedwig Bruck,,,,,,,,,√,,correspondent,,,,,
Bruckner,Anton Bruckner,Bruck.,Br.,Br,,,,,,,,,,,,,
Brüll,Ignaz Brüll,,,,,,,,,√,,pianist,composer,,,,
Brünauer,Robert Brünauer,Dr. Brün.,,,,,,,√,√,√,,industrialist,,,,
Brünauer,Frau Brünauer,Mama Brünauer,,,,,,,,,,mother of pupil,,,,,
Bruyck,Carl Debrois van Bruyck,,,,,,,,,,,author,,,,,
Bülow,Hans von Bülow,,,,,,,,,,,conductor,pianist,editor,,,
Burckhard,Max Burckhard,Burkhardt,Max Burkhardt,,,,,,√,,,critic,,,,,
Busch,Fritz Busch,,,,,,,,,,,musician,,,,,
Busoni,Ferruccio Busoni,,,,,,,,,√,,composer,,,,,
Busoni,Gerda Busoni,,,,,,,,,√,,,,,,,
Buxbaum,Friedrich Buxbaum,,,,,,,,,,,cellist,,,,,
Cailleux,André Cailleux,,,,,,,,,,,scientist,,,,,
Cappi,Cappi,,,,,,,,,,,publisher,,,,,
Cappi-Diabelli,Cappi-Diabelli,,,,,,,,,,,publisher,,,,,
Carre,Teresa Carre,,,,,,,,,√,,,,,,,
Casals,Pablo Casals,,,,,,,,,,,cellist,composer,,,,
Chamberlain,Houston Stewart Chamberlain,,,,,,,,,,,author,,,,,
Chesterton,G. K. Chesterton,,,,,,,,,,,author,,,,,
Chopin,Frederic Chopin,,,,,,,,,,,composer,,,,,
Chudenitz,Ottokar Czernin of Chudenitz,,,,,,,,,,,statesman,,,,,
