"ID","Sort Name","Name1","Name2","Name3","Name4","Name5","Name6","Name7","Name8","Prof"
"pe000001","Abraham","Abraham",,,,,,,,
"pe000002","Adler","Friedrich Adler",,,,,,,,"adler_friedrich"
"pe000003","Adler","Guido Adler",,,," ",,,,"adler_guido"
"pe000004","Adler","Max Adler",,,,,,,,"adler_max"
"pe000005","Adler","Viktor Adler","Victor",,,,,,,"adler_victor"
"pe000006","Aibl","Josef Aibl",,,,,,,,
"pe000007","Albersheim","Gerhard Albersheim"," ",,,,,,,"albersheim_gerhard"
"pe000008","Albersheim","Josef Albersheim",,,,,,,,"albersheim_josef"
"pe000009","Albert","Albert I",,,,,,,,"albert_i"
"pe000010","Albin","Albin",,,,,,,,
"pe000011","Albrechtsberger","Johann Georg Albrechtsberger",,,,,,,,
"pe000012","Alter","Fräulein Alter",,,,,,,,
"pe000013","Altmann","Wilhelm Altmann"," ",,,,,,,"altmann_wilhelm"
"pe000014","Andriessen","Willem Andriessen",,,,,,,,
"pe000015","Anna","Frau Anna",,,,,,,,"anna_frau"
"pe000016","Antropp","Theodor Antropp",,,,,,,,"antropp_theodor"
"pe000017","Aronson","Aronson",,,,,,,,
"pe000018","Arthur","Arthur",,,,,,,,
"pe000019","Ascherberg","Edwin Ascherberg",,,,,,,,
"pe000020","Auber","Auber",,,,,,,,"auber"
"pe000021","Auslander","Frederick E. Auslander",,,,,,,,"auslander_frederick"
"pe000022","Austerlitz","Friedrich Austerlitz",,,,,,,,"austerlitz_friedrich"
"pe000023","Bach","Anna Magdalena Bach",,,,,,,,
"pe000024","Bach","Baronin Bach",,,,,,,,"bach_baronin"
"pe000025","Bach","Carl Philipp Emanuel Bach",,"Karl",,,,,,
"pe000026","Bach","Johann Christian Bach",,,,,,,,
"pe000027","Bach","Johann Sebastian Bach",,,,,,,,
"pe000028","Backhaus","Wilhelm Backhaus",,,,,,,,
"pe000029","Baensch","Otto Baensch",,,,,,,,
"pe000030","Baer","Baer",,,,,,,,
"pe000031","Bahr","Hermann Bahr",,,,,,,,"bahr_hermann"
"pe000032","Baker","Josephine Baker",,,,,,,,"baker_josephine"
"pe000033","Balassa","Ottilie von Balassa",,,,,,,,
"pe000034","Bamberger","Carl Bamberger",,,,,,,,"bamberger_carl"
"pe000035","Barbusse","Henri Barbusse",,,,,,,,
"pe000036","Bardas","Hofrat Bardas",,,,,,,,
"pe000037","Barrès","Maurice Barrès",,,,,,,,
"pe000038","Barth","Karl Heinrich Barth",,,,,,,,
"pe000039","Bartholomey","Bartholomey",,,,,,,,
"pe000040","Basch","Victor Basch",,,,,,,,
"pe000041","Batka","Richard Batka",,,,,,,,"batka_richard"
"pe000042","Baudrexel","Dolfi Baudrexel","Dolfy Baudrexel",,,,,,,"baudrexel_dolfi"
"pe000043","Baudrexel","Frau Baudrexel",,,,,,,,"baudrexel_frau"
"pe000044","Baudrexel","Herr Baudrexel",,,,,,,,"baudrexel_herr"
"pe000045","Bauer","M. Bauer",,,,,,,,
"pe000046","Bauer","Otto Bauer",,,,,,,,
"pe000047","Baumayer","Marie Baumayer",,,,,,,,"baumayer"
"pe000048","Baumgarten","Theodor Baumgarten","Dr. Baumgarten",,,,,,,
"pe000049","Becker","Agnes Becker",,,,,,,,
"pe000050","Bednař","Albin Bednař",,,,,,,,"bednai_albin"
"pe000972","Bednař","Albin Bednař (snr)",,,,,,,,"bednai_albin_snr"
"pe000973","Bednař","Heini Bednař",,,,,,,,"bednai_heini"
"pe000051","Bednař","Jetty Bednař","Frau Bednař",,,,,,,"bednai_frau"
"pe000052","Bednař","Ludwig Bednař","Leutnant Bednař",,,,,,,"bednai_ludwig"
"pe000053","Beethoven","Ludwig van Beethoven",,,,,,,,"beethoven"
"pe000054","Begas","Reinhold Begas",,,,,,,,
"pe000055","Bekker","Paul Bekker",,,,,,,,"bekker_paul"
"pe000056","Bella","Rudolf Bella",,,,,,,,"bella_rudolf"
"pe000974","Bellermann","Heinrich Bellermann",,,,,,,,"bellermann_heinrich"
"pe000057","Benedikt","Moriz Benedikt",,,,,,,,"benedikt_moriz"
"pe000058","Berg","Alban Berg",,,,,,,,
"pe000059","Berger","Alfred von Berger",,,,,,,,
"pe000060","Bergson","Henri Bergson",,,,,,,,
"pe000061","Berlioz","Hector Berlioz",,,,,,,,
"pe000975","Bernhardi","Friedrich Bernhardi",,,,,,,,"bernhardi_friedrich"
"pe000062","Bernstein","Eduard Bernstein",,,,,,,,
"pe000063","Berrsche","Alexander Berrsche",,,,,,,,
"pe000064","Bertram","Dr. Ernst",,,,,,,,
"pe000065","Bertram","Georg Bertram",,,,,,,,
"pe000066","Beyschlag","Adolf Beyschlag","Adolph",,,,,,,
"pe000067","Biederemann-Rieter","Jakob Melchior Biederemann-Rieter",,,,,,,,
"pe000068","Bienenfeld","Elsa Bienenfeld",,,,,,,,"bienenfeld_elsa"
"pe000069","Bier","Herr Bier",,,,,,,,
"pe000070","Bischoff","Hermann Bischoff",,,,,,,,"bischoff_hans"
"pe000071","Bismarck","Bismarck",,,,,,,,
"pe000976","Bittner","Julius Bittner",,,,,,,,"bittner_julius"
"pe000072","Blaschik","A. J. Blaschik",,,,,,,,
"pe000073","Blei","Franz Blei",,,,,,,,"blei_franz"
"pe000074","Bloch","Fräulein Bloch",,,,,,,,
"pe000075","Bloch","Richard Bloch",,,,,,,,"bloch_richard"
"pe000076","Blum","Frau Blum",,,,,,,,
"pe000077","Blum","Herr Blum",,,,,,,,"blum"
"pe000078","Blumauer","Blumauer",,,,,,,,"blumauer"
"pe000079","Blumenthal","Blumenthal",,,,,,,,
"pe000080","Bockelmann","Rudolf Bockelmann","Rudolph",,,,,,,
"pe000081","Bocklet","Professor Boklet",,,,,,,,
"pe000082","Bohm","Bohm",,,,,,,,"bohm"
"pe000083","Bonsels","Waldemaar Bonsels",,,,,,,,
"pe000084","Bopp","Wilhelm Bopp",,,,,,,,"bopp_wilhelm"
"pe000085","Bösendorfer","Ludwig Bösendorfer",,,,,,,,"bosendorfer_ludwig"
"pe000086","Bosse","Gustav Bosse",,,,,,,,
"pe000087","Botstiber","Hugo Botstiber",,,,,,,,"botstiber_hugo"
"pe000088","Boys","Fräulein Boys",,,,,,,,
"pe000089","Brahms","Johannes Brahms",,,,,,,,
"pe000090","Brandts-Buys","Jan Willem Franz Brandts-Buys",,,,,,,,
"pe000091","Braun","Frau Dr. Braun",,,,,,,,
"pe000092","Breisach","Herr Breisach",,,,,,,,"breisach_herr"
"pe000093","Breisach","Paul Breisach",,,,,,,,"breisach_paul"
"pe000094","Breithaupt","Rudolf Maria Breithaupt",,,,,,,,
"pe000095","Brentano","Lujo Brentano","Ludwig Joseph Brentano",,,,,,,"brentano_lujo"
"pe000096","Briand","Aristide Briand",,,,,,,,
"pe000097","Broder","Nathan Broder",,,,,,,,"broder_nathan"
"pe000098","Bruck","Hedwig Bruck",,,,,,,,
"pe000099","Bruckner","Anton Bruckner",,,,,,,,
"pe000100","Brüll","Ignaz Brüll",,,,,,,,
"pe000101","Brünauer","Frau Brünauer","Mama Brünauer",,,,,,,"brunauer_frau"
"pe000102","Brünauer","Robert Brünauer","Dr. Brün.",,,,,,,"brunauer_robert"
"pe000103","Bruyck","Carl Debrois van Bruyck",,,,,,,,
"pe000104","Buber","Martin Buber",,,,,,,,
"pe000105","Bülow","Hans von Bülow",,,,,,,,"bulow_hans_von"
"pe000106","Bunzl","Bunzl",,,,,,,,
"pe000107","Burian","Stefan Burian",,,,,,,,"burian_stefan"
"pe000108","Burkhardt","Max Burkhardt","Burckhard","Burckhardt",,,,,,"burkhardt_max"
"pe000109","Busch","Fritz Busch",,,,,,,,
"pe000110","Busch","Wilhelm Busch",,,,,,,,"busch_wilhelm"
"pe000111","Busoni","Ferruccio Busoni",,,,,,,,"busoni_ferruccio"
"pe000112","Busoni","Gerda Busoni",,,,,,,,
"pe000113","Bussler","Ludwig Bußler","Ludwig Bussler",,,,,,,"bussler_ludwig"
"pe000114","Buxbaum","Friedrich Buxbaum","Buchsbaum",,,,,,,
"pe000115","Cailleux","André Cailleux",,,,,,,,
"pe000116","Cammerlander","Cammerlander","Camerlander",,,,,,,"cammerlander"
"pe000117","Carre","Teresa Carre",,,,,,,,
"pe000118","Casals","Pablo Casals",,,,,,,,
"pe000119","Cauchie","Maurice Cauchie",,,,,,,,"cauchie_maurice"
"pe000120","Cecil","Robert Cecil","Lord Robert Cecil","Edgar Algernon Robert Gascoyne-Cecil","Viscount Cecil",,,,,
"pe000121","Cézanne","Paul Cézanne",,,,,,,,"cezanne_paul"
"pe000122","Chamberlain","Houston Stewart Chamberlain",,,,,,,,"chamberlain_houston"
"pe000123","Chesterton","G. K. Chesterton",,,,,,,,
"pe000124","Chopin","Frederic Chopin","Fryderyk","Fryderyk Franciszek","Frédéric",,,,,
"pe000125","Chrysander","Friedrich Chrysander",,,,,,,,
"pe000126","Citkowitz","Israel Citkowitz",,,,,,,,"citkowitz_israel"
"pe000127","Claudel","Paul Claudel",,,,,,,,
"pe000128","Clauswitz","Käthe Clauswitz",,,,,,,,"clauswitz_kathe"
"pe000129","Clémenceau","Georges Clémenceau",,,,,,,,"clemenceau_georges"
"pe000130","Clementi","Muzio Clementi",,,,,,,,
"pe000131","Colbert","Carl Colbert","Herr Colbert",,,,,,,"colbert_carl"
"pe000132","Colbert","Toni Colbert","Frau Colbert","Tony",,,,,,"colbert_family"
"pe000133","Conne","Paul de Conne","Professor Paul de Conne",,,,,,,"conne_paul_de"
"pe000134","Copernicus","Copernicus",,,,,,,,
"pe000135","Corelli","Arcangello Corelli",,,,,,,,
"pe000136","Couperin","François Couperin",,,,,,,,
"pe000137","Csillag-Stern","Hermann Csillag-Stern",,,,,,,,
"pe000138","Cube","Felix-Eberhard von Cube",,,,,,,,"cube_felixeberhard_v"
"pe000139","Cube","Gustav von Cube",,,,,,,,
"pe000140","Culp","Julia Culp",,,,,,,,
"pe000141","Curtius","O. E. Curtius",,,,,,,,
"pe000142","Czernin","Czernin","Ottokar Czernin of Chudenitz",,,,,,,"czernin"
"pe000143","Czerny","Carl Czerny","Karl Czerny",,,,,,,
"pe000144","Dahms","Walter Dahms",,,,,,,,"dahms_walter"
"pe000145","d'Albert","Eugen d'Albert",,,,,,,,"dalbert_eugen"
"pe000146","d'Albert","Hermine d'Albert",,,,,,,,
"pe000147","Dalcroze","Emil-Jacques Dalcroze","Jacques Dalcroze",,,,,,,
"pe000148","d'Andrade","Francesco D'Andrade",,,,,,,,
"pe000149","Darine","Darine",,,,,,,,
"pe000150","Davydoff","Sonja Davydoff","Davidoff","Davidov","Davydov","Sonya",,,,"davydoff_sonja"
"pe000151","Debussy","Claude Achille Debussy",,,,,,,,
"pe000152","Decker","Karl Decker",,,,,,,,
"pe000153","Decsey","Ernst Decsey",,,,,,,,"decsey_ernst"
"pe000154","Deetjen","Gottfried Deetjen",,,,,,,,
"pe000155","Dehmel","Richard Dehmel",,,,,,,,
"pe000156","DeLange","Daniel DeLange","Daniel de Lange",,,,,,,
"pe000157","Delitzsch","Professor Delitzsch",,,,,,,,
"pe000158","Deutsch","Hanna Deutsch",,,,,,,,
"pe000159","Deutsch","Otto Erich Deutsch",,,,,,,,"deutsch_otto_erich"
"pe000160","Deutsch","Sofie Deutsch","Sophie","Frau Deutsch",,,,,,"deutsch_sofie"
"pe000161","Dewanger","Anton Dewanger",,,,,,,,
"pe000162","Diederichs","Eugen Diederichs",,,,,,,,
"pe000163","d'Indy","Vincent d'Indy",,,,,,,,
"pe000164","Dohnanyi","Ernö Dohnányi",,,,,,,,
"pe000165","Dohnen","Georg Dohnen",,,,,,,,
"pe000166","Dommer","Arrey von Dommer",,,,,,,,"dommer_arrey_von"
"pe000167","Door","Anton Door",,,,,,,,"door_anton"
"pe000168","Door","Julius Door",,,,,,,,
"pe000169","Dreyfus","Alfred Dreyfus",,,,,,,,"dreyfus_alfred"
"pe000170","Droucker","Sandra Droucker",,,,,,,,
"pe000171","Dub","Dr. Dub",,,,,,,,
"pe000172","Dunn","Aline Petrie Dunn",,,,,,,,
"pe000173","Dunn","John Petrie Dunn",,,,,,,,"dunn_john_petrie"
"pe000174","Düntzer","Heinrich Düntzer",,,,,,,,
"pe000175","Dusa","Eleanora Dusa",,,,,,,,
"pe000176","Dvořák","Antonín Dvořák","Antonin Dvořák","Dvorak",,,,,,
"pe000177","Eberle","Joseph Eberle","Josef Eberle",,,,,,,
"pe000178","Ebert","Friedrich Ebert",,,,,,,,"ebert_friedrich"
"pe000179","Eckermann","Johann Peter Eckermann",,,,,,,,
"pe000180","Eckstein","Friedrich Eckstein",,,,,,,,
"pe000181","Effenberger","Hans Effenberger",,,,,,,,"effenberger_hans"
"pe000182","Ehrlich","Ehrlich","Professor Dr. Ehrlich",,,,,,,"ehrlich"
"pe000183","Ehrmann","Alfred von Ehrmann",,,,,,,,
"pe000184","Eibenschütz","Flora Eibenschütz",,,,,,,,
"pe000185","Eichendorff","Joseph von Eichendorff","Joseph Karl Benedikt Freiherr von Eichendorff",,,,,,,
"pe000186","Eichhorn","Hermann Eichhorn",,,,,,,,"eichhorn_hermann"
"pe000187","Einschenk","Franz Einschenk","Onkel Einchsenk",,,,,,,
"pe000188","Einschenk","Tante Einschenk",,,,,,,,
"pe000189","Einstein","Albert Einstein",,,,,,,,
"pe000190","Einstein","Alfred Einstein",,,,,,,,"einstein_alfred"
"pe000191","Eisner","Bruno Eisner",,,,,,,,
"pe000192","Eissler","Berta Eissler",,,,,,,,
"pe000193","Eissler","Hugo Eissler",,,,,,,,
"pe000194","Eissler","Jenny Eissler","Frau Jenny Eissler",,,,,,,
"pe000195","Elgar","Edward Elgar",,,,,,,,
"pe000196","Elias","Angi Elias","Angelika","Fräulein Elias",,,,,,"elias_angelika"
"pe000197","Elias","Frau Elias",,,,,,,,"elias_frau"
