"ID","Term","Alt1","Alt2","Alt3","Alt4","Alt5","Translation1","Translation2","Translation3","Translation4"
"mt000001","Absatz",,,,,,"phrase",,,
"mt000002","Abschluß",,,,,,"end","close",,
"mt000003","Abschnitt",,,,,,"segment","section",,
"mt000004","abwärts",,,,,,"downward","downwards","descending",
"mt000005","Abwechslung",,,,,,"alternation",,,
"mt000006","Achtel",,,,,,"eighth-note","quaver",,
"mt000007","Achtelpause",,,,,,"eighth-note rest","quaver rest",,
"mt000008","Akkord","Accord",,,,,"chord",,,
"mt000009","Akzent","Aczent",,,,,"accent",,,
"mt000010","Alternieren","Alterniren",,,,,"alternation",,,
"mt000011","Analyse",,,,,,"analysis",,,
"mt000012","Anfang",,,,,,"beginning",,,
"mt000013","Anfangsmotive",,,,,,"opening motive",,,
"mt000014","Anschlag",,,,,,"touch",,,
"mt000015","Anstieg",,,,,,"ascent","initial ascent",,
"mt000016","Antizipation","Anticipation",,,,,"anticipation",,,
"mt000017","antizipierend","anticipierend","antizipirend","anticipirend",,,"anticipatory",,,
"mt000018","Arpeggio",,,,,,"arpeggio",,,
"mt000019","Artikulation",,,,,,"articulation",,,
"mt000020","Artikulieren","Artikuliren",,,,,"articulation","articulating",,
"mt000021","Aufbau",,,,,,"construction",,,
"mt000022","Auflösung",,,,,,"resolution",,,
"mt000023","aufsteigende",,,,,,"ascending",,,
"mt000024","Auftakt",,,,,,"upbeat",,,
"mt000025","aufwärts",,,,,,"upward","upwards","ascending",
"mt000026","Ausdruck",,,,,,"expression",,,
"mt000027","Ausfaltung",,,,,,"unfolding",,,
"mt000028","Ausführung",,,,,,"realization",,,
"mt000029","Ausholen",,,,,,"reaching-out motion",,,
"mt000030","Auskomponierung","Auskomponirung",,,,,"composing-out","prolongation",,
"mt000031","Aussensatz",,,,,,"outer voices",,,
"mt000032","Auswechslung",,,,,,"alternation",,,
"mt000033","auswendig",,,,,,"from memory","extempore",,
"mt000034","Auswicklung",,,,,,"unfolding",,,
"mt000035","Balken",,,,,,"beam",,,
"mt000036","Balkung",,,,,,"beaming",,,
"mt000037","Baß",,,,,,"bass","bass line",,
"mt000038","Baßeinsatz",,,,,,"bass entry","bass entrance",,
"mt000039","Baßgang",,,,,,"bass motion",,,
"mt000040","Baßstudie",,,,,,"bass study",,,
"mt000041","Baßthema",,,,,,"bass theme",,,
"mt000042","Baßton",,,,,,"bass note",,,
"mt000043","Bau",,,,,,"construction","structure",,
"mt000044","Bearbeitung",,,,,,"arrangement",,,
"mt000045","Beendigung",,,,,,"end",,,
"mt000046","beschleunigt",,,,,,"accelerated",,,
"mt000047","Beschleunigung",,,,,,"acceleration",,,
"mt000048","Bestandtteil",,,,,,"component",,,
"mt000049","Bild",,,,,,"graph",,,
"mt000050","Bogen","Bg.",,,,,"slur","slur-mark","phrase-mark",
"mt000051","Bogenartikulation",,,,,,"phrase articulation",,,
"mt000052","Brechung",,"Brch.","Brechg.",,,"arpeggiation","broken chord",,
"mt000053","Brücke",,,,,,"bridge",,,
"mt000054","Cantus firmus","c.f.",,,,,"cantus firmus",,,
"mt000055","Chaconne",,,,,,"chaconne",,,
"mt000056","Choral",,,,,,"chorale",,,
"mt000057","Chorsatz",,,,,,"choral setting","choral writing",,
"mt000058","Chroma",,,,,,"flat or sharp",,,
"mt000059","Chromatik",,,,,,"chromaticism",,,
"mt000060","chromatisch",,,,,,"chromatic",,,
"mt000061","Chromatisierung","Chromatisirung",,,,,"chromaticization",,,
"mt000062","Coloratur","Coloratura",,,,,"coloratura",,,
"mt000063","Comes",,,,,,"answer (fugal)",,,
"mt000064","continual",,,,,,"continuo",,,
"mt000065","Continuo",,,,,,"continuo",,,
"mt000066","Deckton",,,,,,"cover-tone",,,
"mt000067","Dehnung",,,,,,"expansion","extension",,
"mt000068","Dezimensatz",,,,,,"motion in tenths","motion in 10ths",,
"mt000069","Dezimsprung",,,,,,"leap of a tenth","leap of a 10th","tenth-leap","10th-leap"
"mt000070","Diatonie",,,,,,"diatonicism","diatonic",,
"mt000071","Diminution",,,,,,"diminution",,,
"mt000072","dissonant",,,,,,"dissonant",,,
"mt000073","Dissonanz",,,,,,"dissonance",,,
"mt000074","Dominante",,,,,,"dominant",,,
"mt000075","Doppelfuge",,,,,,"double fugue",,,
"mt000076","doppelter Kontrapunkt",,,,,,"double counterpoint",,,
"mt000077","Dreiklang",,,,,,"triad",,,
"mt000078","dreistimmig","3-stimmig",,,,,"three-voice",,,
"mt000481","dreistimmiger Satz",,,,,,"three-voiced counterpoint","counterpoint in three parts",,
"mt000079","Durchführung",,,,,,"development","development section",,
"mt000080","Durchgang",,"Dg.","Dchg.","Durchf.",,"passing-tone","passing-note",,
"mt000081","durchgearbeitet",,,,,,"elaborated",,,
"mt000082","Durdominante",,,,,,"major dominant",,,
"mt000083","Durtonart",,,,,,"major key",,,
"mt000084","Dynamik",,,,,,"dynamic","dynamics",,
"mt000085","dynamisch",,,,,,"dynamic",,,
"mt000086","Echo",,,,,,"echo",,,
"mt000087","Echowirkung",,,,,,"echo effect",,,
"mt000088","Effekt",,,,,,"effect",,,
"mt000089","einfacher Kontrapunkt",,,,,,"strict counterpoint",,,
"mt000090","eingeschaltet",,,,,,"interpolated",,,
"mt000091","eingestrichen",,,,,,"one-line",,,
"mt000092","Einheit",,,,,,"unity",,,
"mt000093","Einleitung",,,,,,"introduction",,,
"mt000094","Einsatz",,,,,,"entry","entrance",,
"mt000095","Eintritt",,,,,,"entry","entrance",,
"mt000096","Element",,,,,,"element",,,
"mt000097","Elllipse",,,,,,"ellipse",,,
"mt000098","Endton",,,,,,"final tone","final note",,
"mt000099","Engführung",,,,,,"diminution","stretto",,
"mt000100","Enharmonie",,,,,,"enharmony","enharmonicism",,
"mt000101","Enstpannung",,,,,,"release of tension",,,
"mt000102","entwickelt",,,,,,"developed",,,
"mt000103","Entwicklung",,,,,,"development",,,
"mt000104","Etude",,,,,,"etude","study",,
"mt000105","Exposition",,,,,,"exposition",,,
"mt000106","fallend",,,,,,"descending","falling",,
"mt000107","Fantasie",,,,,,"fantasy","imagination",,
"mt000108","Fermate",,,,,,"fermata","pause",,
